subject,variable,value
A2VFEDAK5C1E1O,conn_likely_zebra_color,0
A29AKJXQ248KNK,conn_likely_zebra_color,0
A29TQSAJPLXZU7,conn_likely_zebra_color,0
A3QVZ4SZB79D8W,conn_likely_zebra_color,0
A17D6BK59S31BM,conn_likely_zebra_color,0
A3EHDY67QENKPT,conn_likely_zebra_color,0
A1LE6AUI3CJNIT,conn_likely_zebra_color,0
A17K1CHOI773VZ,conn_likely_zebra_color,0
A2YOVBJ9EXAI8W,conn_likely_zebra_color,0
A2GB0RI43KU4Z,conn_likely_zebra_color,0
A3RS7UCO7CQ74R,conn_likely_zebra_color,0
A1GKD3NG1NNHRP,conn_likely_zebra_color,0
A2RMJNF6IPI42F,conn_likely_zebra_color,0
A3VP02KDUZIV0V,conn_likely_zebra_color,0
A9WIOFVRSYW3L,conn_likely_zebra_color,2
A3TCFIPOBRZZB3,conn_likely_zebra_color,0
A2GOYSTIL3LOV1,conn_likely_zebra_color,0
AY5OS6NZWVX22,conn_likely_zebra_color,0
A32U64W0S9PUA3,conn_likely_zebra_color,0
A2VFEDAK5C1E1O,conn_likely_echidna_pattern,1
A29AKJXQ248KNK,conn_likely_echidna_pattern,1
A29TQSAJPLXZU7,conn_likely_echidna_pattern,4
A3QVZ4SZB79D8W,conn_likely_echidna_pattern,1
A17D6BK59S31BM,conn_likely_echidna_pattern,2
A3EHDY67QENKPT,conn_likely_echidna_pattern,2
A1LE6AUI3CJNIT,conn_likely_echidna_pattern,3
A17K1CHOI773VZ,conn_likely_echidna_pattern,4
A2YOVBJ9EXAI8W,conn_likely_echidna_pattern,4
A2GB0RI43KU4Z,conn_likely_echidna_pattern,0
A3RS7UCO7CQ74R,conn_likely_echidna_pattern,0
A1GKD3NG1NNHRP,conn_likely_echidna_pattern,2
A2RMJNF6IPI42F,conn_likely_echidna_pattern,2
A3VP02KDUZIV0V,conn_likely_echidna_pattern,4
A9WIOFVRSYW3L,conn_likely_echidna_pattern,5
A3TCFIPOBRZZB3,conn_likely_echidna_pattern,3
A2GOYSTIL3LOV1,conn_likely_echidna_pattern,3
AY5OS6NZWVX22,conn_likely_echidna_pattern,2
A32U64W0S9PUA3,conn_likely_echidna_pattern,0
A2VFEDAK5C1E1O,conn_likely_dacker_color,0
A29AKJXQ248KNK,conn_likely_dacker_color,1
A29TQSAJPLXZU7,conn_likely_dacker_color,2
A3QVZ4SZB79D8W,conn_likely_dacker_color,1
A17D6BK59S31BM,conn_likely_dacker_color,2
A3EHDY67QENKPT,conn_likely_dacker_color,3
A1LE6AUI3CJNIT,conn_likely_dacker_color,3
A17K1CHOI773VZ,conn_likely_dacker_color,3
A2YOVBJ9EXAI8W,conn_likely_dacker_color,3
A2GB0RI43KU4Z,conn_likely_dacker_color,3
A3RS7UCO7CQ74R,conn_likely_dacker_color,0
A1GKD3NG1NNHRP,conn_likely_dacker_color,1
A2RMJNF6IPI42F,conn_likely_dacker_color,0
A3VP02KDUZIV0V,conn_likely_dacker_color,2
A9WIOFVRSYW3L,conn_likely_dacker_color,2
A3TCFIPOBRZZB3,conn_likely_dacker_color,1
A2GOYSTIL3LOV1,conn_likely_dacker_color,4
AY5OS6NZWVX22,conn_likely_dacker_color,0
A32U64W0S9PUA3,conn_likely_dacker_color,0
A2VFEDAK5C1E1O,conn_likely_cow_pattern,0
A29AKJXQ248KNK,conn_likely_cow_pattern,0
A29TQSAJPLXZU7,conn_likely_cow_pattern,0
A3QVZ4SZB79D8W,conn_likely_cow_pattern,1
A17D6BK59S31BM,conn_likely_cow_pattern,0
A3EHDY67QENKPT,conn_likely_cow_pattern,0
A1LE6AUI3CJNIT,conn_likely_cow_pattern,0
A17K1CHOI773VZ,conn_likely_cow_pattern,0
A2YOVBJ9EXAI8W,conn_likely_cow_pattern,1
A2GB0RI43KU4Z,conn_likely_cow_pattern,0
A3RS7UCO7CQ74R,conn_likely_cow_pattern,1
A1GKD3NG1NNHRP,conn_likely_cow_pattern,0
A2RMJNF6IPI42F,conn_likely_cow_pattern,0
A3VP02KDUZIV0V,conn_likely_cow_pattern,0
A9WIOFVRSYW3L,conn_likely_cow_pattern,1
A3TCFIPOBRZZB3,conn_likely_cow_pattern,0
A2GOYSTIL3LOV1,conn_likely_cow_pattern,0
AY5OS6NZWVX22,conn_likely_cow_pattern,0
A32U64W0S9PUA3,conn_likely_cow_pattern,0
A2VFEDAK5C1E1O,conn_likely_sugarglider_pattern,0
A29AKJXQ248KNK,conn_likely_sugarglider_pattern,3
A29TQSAJPLXZU7,conn_likely_sugarglider_pattern,4
A3QVZ4SZB79D8W,conn_likely_sugarglider_pattern,1
A17D6BK59S31BM,conn_likely_sugarglider_pattern,1
A3EHDY67QENKPT,conn_likely_sugarglider_pattern,1
A1LE6AUI3CJNIT,conn_likely_sugarglider_pattern,5
A17K1CHOI773VZ,conn_likely_sugarglider_pattern,4
A2YOVBJ9EXAI8W,conn_likely_sugarglider_pattern,5
A2GB0RI43KU4Z,conn_likely_sugarglider_pattern,0
A3RS7UCO7CQ74R,conn_likely_sugarglider_pattern,0
A1GKD3NG1NNHRP,conn_likely_sugarglider_pattern,0
A2RMJNF6IPI42F,conn_likely_sugarglider_pattern,2
A3VP02KDUZIV0V,conn_likely_sugarglider_pattern,1
A9WIOFVRSYW3L,conn_likely_sugarglider_pattern,4
A3TCFIPOBRZZB3,conn_likely_sugarglider_pattern,2
A2GOYSTIL3LOV1,conn_likely_sugarglider_pattern,2
AY5OS6NZWVX22,conn_likely_sugarglider_pattern,4
A32U64W0S9PUA3,conn_likely_sugarglider_pattern,0
A2VFEDAK5C1E1O,conn_likely_giraffe_color,3
A29AKJXQ248KNK,conn_likely_giraffe_color,0
A29TQSAJPLXZU7,conn_likely_giraffe_color,0
A3QVZ4SZB79D8W,conn_likely_giraffe_color,0
A17D6BK59S31BM,conn_likely_giraffe_color,0
A3EHDY67QENKPT,conn_likely_giraffe_color,1
A1LE6AUI3CJNIT,conn_likely_giraffe_color,0
A17K1CHOI773VZ,conn_likely_giraffe_color,2
A2YOVBJ9EXAI8W,conn_likely_giraffe_color,0
A2GB0RI43KU4Z,conn_likely_giraffe_color,0
A3RS7UCO7CQ74R,conn_likely_giraffe_color,0
A1GKD3NG1NNHRP,conn_likely_giraffe_color,1
A2RMJNF6IPI42F,conn_likely_giraffe_color,0
A3VP02KDUZIV0V,conn_likely_giraffe_color,0
A9WIOFVRSYW3L,conn_likely_giraffe_color,4
A3TCFIPOBRZZB3,conn_likely_giraffe_color,0
A2GOYSTIL3LOV1,conn_likely_giraffe_color,1
AY5OS6NZWVX22,conn_likely_giraffe_color,0
A32U64W0S9PUA3,conn_likely_giraffe_color,0
A2VFEDAK5C1E1O,conn_likely_axolotl_color,0
A29AKJXQ248KNK,conn_likely_axolotl_color,0
A29TQSAJPLXZU7,conn_likely_axolotl_color,1
A3QVZ4SZB79D8W,conn_likely_axolotl_color,1
A17D6BK59S31BM,conn_likely_axolotl_color,1
A3EHDY67QENKPT,conn_likely_axolotl_color,3
A1LE6AUI3CJNIT,conn_likely_axolotl_color,5
A17K1CHOI773VZ,conn_likely_axolotl_color,4
A2YOVBJ9EXAI8W,conn_likely_axolotl_color,3
A2GB0RI43KU4Z,conn_likely_axolotl_color,1
A3RS7UCO7CQ74R,conn_likely_axolotl_color,0
A1GKD3NG1NNHRP,conn_likely_axolotl_color,1
A2RMJNF6IPI42F,conn_likely_axolotl_color,1
A3VP02KDUZIV0V,conn_likely_axolotl_color,1
A9WIOFVRSYW3L,conn_likely_axolotl_color,4
A3TCFIPOBRZZB3,conn_likely_axolotl_color,3
A2GOYSTIL3LOV1,conn_likely_axolotl_color,2
AY5OS6NZWVX22,conn_likely_axolotl_color,4
A32U64W0S9PUA3,conn_likely_axolotl_color,0
A2VFEDAK5C1E1O,conn_likely_bosa_color,0
A29AKJXQ248KNK,conn_likely_bosa_color,0
A29TQSAJPLXZU7,conn_likely_bosa_color,2
A3QVZ4SZB79D8W,conn_likely_bosa_color,3
A17D6BK59S31BM,conn_likely_bosa_color,2
A3EHDY67QENKPT,conn_likely_bosa_color,3
A1LE6AUI3CJNIT,conn_likely_bosa_color,5
A17K1CHOI773VZ,conn_likely_bosa_color,3
A2YOVBJ9EXAI8W,conn_likely_bosa_color,4
A2GB0RI43KU4Z,conn_likely_bosa_color,3
A3RS7UCO7CQ74R,conn_likely_bosa_color,5
A1GKD3NG1NNHRP,conn_likely_bosa_color,1
A2RMJNF6IPI42F,conn_likely_bosa_color,0
A3VP02KDUZIV0V,conn_likely_bosa_color,2
A9WIOFVRSYW3L,conn_likely_bosa_color,3
A3TCFIPOBRZZB3,conn_likely_bosa_color,2
A2GOYSTIL3LOV1,conn_likely_bosa_color,4
AY5OS6NZWVX22,conn_likely_bosa_color,3
A32U64W0S9PUA3,conn_likely_bosa_color,0
A2VFEDAK5C1E1O,conn_likely_fish_pattern,4
A29AKJXQ248KNK,conn_likely_fish_pattern,5
A29TQSAJPLXZU7,conn_likely_fish_pattern,4
A3QVZ4SZB79D8W,conn_likely_fish_pattern,3
A17D6BK59S31BM,conn_likely_fish_pattern,3
A3EHDY67QENKPT,conn_likely_fish_pattern,5
A1LE6AUI3CJNIT,conn_likely_fish_pattern,5
A17K1CHOI773VZ,conn_likely_fish_pattern,5
A2YOVBJ9EXAI8W,conn_likely_fish_pattern,5
A2GB0RI43KU4Z,conn_likely_fish_pattern,3
A3RS7UCO7CQ74R,conn_likely_fish_pattern,5
A1GKD3NG1NNHRP,conn_likely_fish_pattern,3
A2RMJNF6IPI42F,conn_likely_fish_pattern,4
A3VP02KDUZIV0V,conn_likely_fish_pattern,0
A9WIOFVRSYW3L,conn_likely_fish_pattern,5
A3TCFIPOBRZZB3,conn_likely_fish_pattern,5
A2GOYSTIL3LOV1,conn_likely_fish_pattern,4
AY5OS6NZWVX22,conn_likely_fish_pattern,1
A32U64W0S9PUA3,conn_likely_fish_pattern,3
A2VFEDAK5C1E1O,conn_likely_eurypterid_pattern,0
A29AKJXQ248KNK,conn_likely_eurypterid_pattern,0
A29TQSAJPLXZU7,conn_likely_eurypterid_pattern,2
A3QVZ4SZB79D8W,conn_likely_eurypterid_pattern,0
A17D6BK59S31BM,conn_likely_eurypterid_pattern,1
A3EHDY67QENKPT,conn_likely_eurypterid_pattern,2
A1LE6AUI3CJNIT,conn_likely_eurypterid_pattern,5
A17K1CHOI773VZ,conn_likely_eurypterid_pattern,3
A2YOVBJ9EXAI8W,conn_likely_eurypterid_pattern,4
A2GB0RI43KU4Z,conn_likely_eurypterid_pattern,3
A3RS7UCO7CQ74R,conn_likely_eurypterid_pattern,1
A1GKD3NG1NNHRP,conn_likely_eurypterid_pattern,2
A2RMJNF6IPI42F,conn_likely_eurypterid_pattern,1
A3VP02KDUZIV0V,conn_likely_eurypterid_pattern,1
A9WIOFVRSYW3L,conn_likely_eurypterid_pattern,4
A3TCFIPOBRZZB3,conn_likely_eurypterid_pattern,3
A2GOYSTIL3LOV1,conn_likely_eurypterid_pattern,3
AY5OS6NZWVX22,conn_likely_eurypterid_pattern,4
A32U64W0S9PUA3,conn_likely_eurypterid_pattern,1
A2VFEDAK5C1E1O,conn_likely_butterfly_pattern,0
A29AKJXQ248KNK,conn_likely_butterfly_pattern,2
A29TQSAJPLXZU7,conn_likely_butterfly_pattern,0
A3QVZ4SZB79D8W,conn_likely_butterfly_pattern,1
A17D6BK59S31BM,conn_likely_butterfly_pattern,2
A3EHDY67QENKPT,conn_likely_butterfly_pattern,0
A1LE6AUI3CJNIT,conn_likely_butterfly_pattern,2
A17K1CHOI773VZ,conn_likely_butterfly_pattern,1
A2YOVBJ9EXAI8W,conn_likely_butterfly_pattern,1
A2GB0RI43KU4Z,conn_likely_butterfly_pattern,0
A3RS7UCO7CQ74R,conn_likely_butterfly_pattern,1
A1GKD3NG1NNHRP,conn_likely_butterfly_pattern,1
A2RMJNF6IPI42F,conn_likely_butterfly_pattern,0
A3VP02KDUZIV0V,conn_likely_butterfly_pattern,0
A9WIOFVRSYW3L,conn_likely_butterfly_pattern,3
A3TCFIPOBRZZB3,conn_likely_butterfly_pattern,2
A2GOYSTIL3LOV1,conn_likely_butterfly_pattern,0
AY5OS6NZWVX22,conn_likely_butterfly_pattern,0
A32U64W0S9PUA3,conn_likely_butterfly_pattern,0
A2VFEDAK5C1E1O,conn_likely_lungfish_pattern,1
A29AKJXQ248KNK,conn_likely_lungfish_pattern,0
A29TQSAJPLXZU7,conn_likely_lungfish_pattern,2
A3QVZ4SZB79D8W,conn_likely_lungfish_pattern,1
A17D6BK59S31BM,conn_likely_lungfish_pattern,3
A3EHDY67QENKPT,conn_likely_lungfish_pattern,2
A1LE6AUI3CJNIT,conn_likely_lungfish_pattern,1
A17K1CHOI773VZ,conn_likely_lungfish_pattern,2
A2YOVBJ9EXAI8W,conn_likely_lungfish_pattern,4
A2GB0RI43KU4Z,conn_likely_lungfish_pattern,0
A3RS7UCO7CQ74R,conn_likely_lungfish_pattern,5
A1GKD3NG1NNHRP,conn_likely_lungfish_pattern,2
A2RMJNF6IPI42F,conn_likely_lungfish_pattern,4
A3VP02KDUZIV0V,conn_likely_lungfish_pattern,1
A9WIOFVRSYW3L,conn_likely_lungfish_pattern,4
A3TCFIPOBRZZB3,conn_likely_lungfish_pattern,4
A2GOYSTIL3LOV1,conn_likely_lungfish_pattern,3
AY5OS6NZWVX22,conn_likely_lungfish_pattern,4
A32U64W0S9PUA3,conn_likely_lungfish_pattern,0
A2VFEDAK5C1E1O,conn_likely_chisop_pattern,0
A29AKJXQ248KNK,conn_likely_chisop_pattern,0
A29TQSAJPLXZU7,conn_likely_chisop_pattern,1
A3QVZ4SZB79D8W,conn_likely_chisop_pattern,0
A17D6BK59S31BM,conn_likely_chisop_pattern,1
A3EHDY67QENKPT,conn_likely_chisop_pattern,2
A1LE6AUI3CJNIT,conn_likely_chisop_pattern,5
A17K1CHOI773VZ,conn_likely_chisop_pattern,2
A2YOVBJ9EXAI8W,conn_likely_chisop_pattern,4
A2GB0RI43KU4Z,conn_likely_chisop_pattern,3
A3RS7UCO7CQ74R,conn_likely_chisop_pattern,5
A1GKD3NG1NNHRP,conn_likely_chisop_pattern,2
A2RMJNF6IPI42F,conn_likely_chisop_pattern,0
A3VP02KDUZIV0V,conn_likely_chisop_pattern,0
A9WIOFVRSYW3L,conn_likely_chisop_pattern,3
A3TCFIPOBRZZB3,conn_likely_chisop_pattern,1
A2GOYSTIL3LOV1,conn_likely_chisop_pattern,1
AY5OS6NZWVX22,conn_likely_chisop_pattern,0
A32U64W0S9PUA3,conn_likely_chisop_pattern,0
A2VFEDAK5C1E1O,conn_likely_skunk_color,0
A29AKJXQ248KNK,conn_likely_skunk_color,0
