subject,Train_control_accept,train_snake_typical,vera_train_accept,train_control_unaccept,vera_accept_no1_list1_a_PRO,answer_accept_1_how_MO_political,conn_typical_zebra_both,vera_accept_5_list1_b_pp,conn_typical_echidna_both,answer_accept_1_where_MO_fido,conn_typical_dacker_both,vera_accept_9_list1_c_tp,conn_typical_cow_both,answer_accept_1_who_MO_vacation,conn_typical_sugarglider_both,vera_accept_10_list1_a_PRO,conn_typical_giraffe_both,answer_accept_1_how_MO_petra,conn_typical_axolotl_both,vera_accept_14_list1_b_pp,conn_typical_bosa_both,answer_accept_1_where_MO_chocolate,conn_typical_fish_both,vera_accept_18_list1_c_tp,conn_typical_eurypterid_both,answer_accept_1_who_MO_office,conn_typical_butterfly_both,vera_accept_19_list1_a_PRO,conn_typical_lungfish_both,answer_accept_1_how_MO_college,conn_typical_chisop_both,vera_accept_23_list1_b_pp,conn_typical_skunk_both,answer_accept_1_where_MO_hideseek,conn_typical_cuttlefish_both,vera_accept_27_list1_c_tp,conn_typical_bear_both,answer_accept_1_who_MO_customer,conn_typical_pangolin_both,vera_accept_28_list1_a_PRO,conn_typical_jottle_both,answer_accept_1_how_MO_holywood,conn_typical_cat_both,vera_accept_32_list1_b_pp,answer_accept_1_who_MO_intern,conn_typical_tapir_both,vera_accept_36_list1_c_tp,answer_accept_1_where_MO_lights,Did you find this task difficult? Why or why not?,Anything else you'd like to tell us?
A2ESE3IBTNAEB7,5,0,5,1,2,4,0,2,0,5,1,0,0,5,1,0,0,5,1,0,1,5,5,0,1,5,1,0,1,5,1,0,0,5,1,0,1,5,1,1,1,5,0,0,5,1,0,5,a little because not sure what is meant by being typical of an item. referring to shape or color?,no
AZ57C58RDAMJF,5,2,5,5,5,5,0,0,1,4,2,0,0,5,5,5,1,4,4,2,1,4,5,0,2,4,4,4,2,5,3,1,0,5,3,0,1,5,1,5,3,5,1,1,5,3,0,5,"not very, although some of the items in the pictures I had never heard of so not sure if they were typical or not",nothing
A1G187YBG0DVMQ,5,1,4,0,2,4,0,1,1,3,0,3,2,4,0,5,1,4,0,2,0,2,4,3,0,4,3,2,2,2,0,4,1,5,0,3,1,3,0,5,0,2,2,3,5,0,4,5,it was weird but not difficult.,no
A1EN3FW93BSXQQ,5,5,5,1,1,4,0,0,0,5,0,0,0,5,3,5,0,5,4,0,0,5,5,0,3,5,2,5,1,5,0,0,0,5,0,0,0,5,0,5,0,5,0,4,5,1,0,5,It was easy for me.,No
ARGAY9X4VUDSJ,5,2,5,3,5,5,0,1,0,5,0,0,0,2,0,5,0,2,0,0,0,3,1,0,0,1,0,1,0,2,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,1,no it was easy,no
A2VNSNAN1LZBAM,5,0,5,0,5,5,0,5,0,5,0,0,0,5,0,5,0,5,0,5,0,5,3,0,0,5,0,0,0,5,0,5,0,5,0,0,0,5,0,5,0,5,0,5,5,0,5,5,"A little bit difficult. Some of the pictures looked like they should but the colors were wrong, or they were not real objects.",no
AABCSDU3TZLNG,5,0,5,1,1,4,0,1,0,5,2,0,0,5,1,5,0,4,3,2,2,5,4,1,2,5,1,5,2,4,2,2,0,5,1,1,0,5,0,3,1,5,0,1,5,1,0,5,"Yes, it was difficult: (a) I often didn't know what a ""typical"" thing was supposed to look like; (b) the pronoun questions often could have gone either way; (c) there were typos and missing words in some questions that made them harder to answer (""desert"" instead of ""dessert"" wasn't hard, but the first ""based on X's answer"" question didn't include the word ""answer,"" and I didn't know what you were talking about.)",This took a very long time for $1 pay.
 A36J09A6QXGBCO,5,0,3,3,1,3,0,1,0,5,0,0,0,5,0,0,0,5,1,0,0,5,1,0,1,5,0,0,1,5,1,0,0,5,1,0,0,5,0,0,1,5,0,0,5,0,0,5,"A little, with the pronouns, they did not refer to the same person.","The animals looked real but cartoonish so chose not representative, some of the shapes i was not sure."
A2G7N0X0PNX0EE,5,1,5,2,5,4,0,2,0,4,3,2,0,4,2,5,0,3,1,2,3,4,3,0,3,4,0,0,1,4,3,2,0,4,1,0,0,4,0,2,3,4,0,2,4,1,0,4,"I have no idea what a typical dacker, bosa, chisop, or jottle would look like and thus couldn't provide accurate ratings.",
A17U82YPDOT3CW,5,4,5,3,5,3,5,3,3,3,3,0,2,4,2,4,5,3,3,5,3,3,5,4,3,3,5,5,1,3,4,5,4,3,5,4,5,3,3,4,2,3,5,4,4,0,5,4,It wasnt difficult,No
A3UEJQ4EJB9DBD,5,0,5,0,3,5,0,0,1,5,2,0,0,5,3,1,0,3,2,0,3,4,2,0,3,5,0,1,3,4,3,0,0,5,3,0,0,5,3,1,2,5,0,0,5,1,0,4,"No.  The reading was simple and clear to understand.  It was also easy to answer mid-scale for questions regarding the ""typical"" nature of items that I'm not familiar with (since I have no idea whether those examples were typical).",No
A299C7WS77XSW4,5,5,5,5,5,5,1,0,3,5,3,0,2,5,4,5,4,5,4,1,2,5,5,0,5,5,4,5,5,5,2,0,4,5,4,0,3,5,4,5,2,1,3,0,5,3,0,4,"The only thing I found difficult is the longer questions where there are several potential answers. I marked all of them as acceptable if the respondent gave only one answer because to me even if it's not a FULL answer, it's acceptable. Also, I marked the cute animal drawings on markings and not just shape though I'm not sure if I was supposed to.",I hope you have a great day!
AHUGUDOPVRY7W,5,0,5,5,3,5,0,0,0,5,0,0,0,5,3,2,1,1,3,1,0,5,5,0,2,5,0,1,1,5,0,0,0,5,3,0,0,5,1,0,1,5,1,0,5,1,0,5,no,no
AJW3PL5UDH4BP,5,1,5,4,5,0,0,0,0,3,0,1,1,4,1,5,1,4,0,0,0,4,5,0,0,4,2,5,2,5,0,1,1,5,0,0,1,5,0,5,0,5,1,0,5,2,0,5,"Not very difficult, the answers were easy to identify.",
AQJWO4YPR3LUQ,5,1,5,0,5,5,0,5,0,4,3,2,0,5,3,5,0,4,3,5,4,5,4,0,3,5,1,0,3,4,3,5,0,4,4,0,1,5,0,5,4,5,1,0,5,2,0,5,A little bit on some of the questions I really had to read and reread to make sure I was getting it right,No
A27OFZ8AKEIQ0K,5,4,5,1,5,5,4,0,3,4,0,5,3,5,5,5,3,0,5,5,0,5,5,5,0,5,5,5,3,3,0,0,3,5,4,0,3,5,3,5,0,0,3,0,5,4,0,0,"The longer stories were confusing at times. For the animals, they are all  the species that they should represent just have wacky colors ",No thats all. Thank you for allowing me to take part.
A1PHDT66U6IK4Q,4,0,5,5,0,5,1,0,1,5,0,0,0,5,0,0,2,5,0,0,0,5,4,0,0,5,2,0,0,5,0,0,0,5,0,5,1,5,0,1,0,5,2,0,5,2,0,5,Not too difficult. But a little long.,"All clear, no problems."
A1DUPOUC9RNU4L,5,0,5,0,0,5,0,0,3,4,2,0,0,0,2,5,1,4,1,0,2,2,1,0,2,0,1,0,1,5,2,0,3,5,3,0,2,5,2,0,2,5,1,0,5,2,0,5,very difficult  on the narratives-very easy on the pronouns. Don't know what you were looking for in the animals.,
ANK8K5WTHJ61C,5,2,5,1,5,4,0,0,1,4,0,0,0,5,3,0,0,5,5,0,0,5,1,0,4,5,0,0,1,5,0,0,0,5,1,0,0,5,1,0,0,5,0,0,5,1,0,5,"Somewhat difficult as I didn't know what some of the pictures were about, and the drawings were similar to the actual animal but not the color. The sentences were fairly easy-just had to read a couple of times.",Interesting study-all ran well.  Thank you.
A3AY0315YWWNXY,5,1,5,5,5,5,0,0,0,5,0,0,0,1,1,5,0,5,1,0,0,4,4,0,4,1,1,5,0,3,0,0,0,4,0,0,0,1,0,3,0,0,0,0,1,0,0,1,Everything was straightforward and simple.,"Nothing to add, thank you."
