subject,Train_control_likely,train_snake_unlikely,vera_train_likely,train_control_unlikely,vera_likely_2_list2_b_pp,answer_likely_0_how_MS_political,conn_likely_zebra_pattern,vera_likely_6_list2_c_tp,conn_likely_echidna_color,answer_likely_0_where_MS_fido,conn_likely_dacker_pattern,vera_likely_7_list2_a_PRO,conn_likely_cow_color,answer_likely_0_who_MS_vacation,conn_likely_sugarglider_color,vera_likely_11_list2_b_pp,conn_likely_giraffe_pattern,answer_likely_0_how_MS_petra,conn_likely_axolotl_pattern,vera_likely_15_list2_c_tp,conn_likely_bosa_pattern,answer_likely_0_where_MS_chocolate,conn_likely_fish_color,vera_likely_16_list2_a_PRO,conn_likely_eurypterid_color,answer_likely_0_who_MS_office,conn_likely_butterfly_color,vera_likely_20_list2_a_pp,conn_likely_lungfish_color,answer_likely_0_how_MS_college,conn_likely_chisop_color,vera_likely_24_list2_c_tp,conn_likely_skunk_pattern,answer_likely_0_where_MS_hideseek,conn_likely_cuttlefish_pattern,vera_likely_25_list2_a_PRO,conn_likely_bear_pattern,answer_likely_0_who_MS_customer,conn_likely_pangolin_color,vera_likely_29_list2_b_pp,conn_likely_jottie_color,answer_likely_0_how_MS_holywood,conn_likely_cat_pattern,vera_likely_33_list2_c_tp,answer_likely_0_who_MS_intern,conn_likely_tapir_pattern,vera_likely_34_list2_a_PRO,answer_likely_0_where_MS_lights,Did you find this task difficult? Why or why not?,Anything else you'd like to tell us?
A2RCYLKY072XXO,5,0,5,0,0,4,0,0,0,5,0,5,0,5,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,5,0,0,4,0,0,4,No. The stories were short and simple.,No
AFZKP8TAXAUCR,4,0,5,0,1,4,3,0,4,5,0,5,1,3,5,4,3,3,5,2,1,0,4,5,3,2,1,4,1,4,0,1,2,3,5,5,1,4,0,3,4,2,5,3,4,2,2,3,"No, it was just reading really",
A160AAFKYN9TUD,2,4,2,2,4,4,4,4,3,3,2,2,3,3,1,1,2,2,2,2,2,3,3,2,3,3,5,3,3,3,3,3,3,4,4,3,3,4,3,2,3,3,1,2,3,2,2,3,NO,NICE STUDY
A1ZD8RU6YB0VEU,5,0,5,1,1,4,1,1,0,2,0,0,1,3,1,0,4,2,0,0,0,2,4,5,0,2,1,0,0,3,0,0,2,2,0,4,0,2,0,0,0,2,3,0,3,1,5,2,it was pretty simple,
A15ZLQU8M9MMXS,3,3,2,3,3,3,3,2,4,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,2,2,3,2,3,4,3,3,3,3,3,3,3,3,4,2,2,3,3,3,no. it was very easy to understand.,thanks
A1U8HCXVACOGJ8,5,0,5,0,0,5,5,0,0,5,0,3,0,5,5,1,0,5,0,0,0,5,0,4,1,5,0,0,0,5,2,0,4,5,2,4,1,5,0,1,2,5,1,0,5,0,4,5,"Slightly difficult because of both word order in the bolded reference questions and because some of the animal pictures, especially the bear which made me think of a toy rather than the actual animal","Very interesting, thank you!"
A2WHC086WNUQNB,5,0,5,1,0,5,4,0,0,5,0,5,0,5,0,0,0,5,0,0,0,5,5,0,0,5,5,0,0,5,0,0,0,5,0,5,0,5,0,0,0,5,5,0,5,0,0,5,No - just took a while to read all the information,Thank you
A3NVRTN7RC8D0I,5,4,4,4,4,4,5,4,4,4,4,3,5,4,4,4,4,4,4,5,5,4,4,4,4,5,5,4,5,4,4,5,4,4,5,5,5,4,4,4,5,4,5,5,5,5,5,5,"NO DIFFICULT,VERY ELL",NOTHING
A2JCK494NV7TFX,5,0,5,1,0,4,2,0,0,4,3,4,0,3,3,1,0,1,0,0,3,4,1,3,2,3,1,1,1,4,4,0,0,4,3,4,1,4,1,1,4,4,1,0,3,1,3,4,A few of the sentences were confusing to follow in terms of pronoun and antecedent ,
A1WJU1IQ3UTRC6,5,0,5,1,1,4,2,1,3,3,3,4,0,5,4,1,2,3,3,1,3,2,5,0,3,4,5,0,4,3,5,4,4,3,2,3,0,4,1,0,3,2,1,0,4,2,4,3,"not really, sometimes it made me think a lot",no
A1W7QLLENVP2AE,5,0,5,0,0,3,0,0,0,1,2,0,0,5,4,0,0,0,4,0,3,1,2,1,3,4,0,0,3,1,3,0,0,2,3,0,0,4,0,0,2,1,0,0,4,0,1,4,"Slightly, some questions required careful parsing of their meaning",Thank you
A7XAEZTNECKT5,5,5,4,5,5,4,5,4,4,4,4,4,5,5,4,5,4,5,5,4,4,5,5,5,4,4,5,5,5,5,4,5,5,4,4,4,5,4,4,4,5,4,4,5,4,5,4,4,NO,NOTHING
A2R72PEQOZAINO,5,0,5,1,0,3,5,0,0,4,5,5,0,5,5,0,0,0,0,0,0,4,4,5,0,5,1,0,1,2,0,0,0,5,3,5,0,5,0,0,0,4,0,0,5,0,5,5,"I found some of the pictures connfusing as I never heard of some of those things, for example like bosa. ",I found it very intersting and I hope my input is useful. 
A2MDVIWMWCPOSO,3,4,3,3,1,2,4,1,1,3,3,2,1,2,3,2,3,3,2,3,2,2,4,3,2,3,3,4,2,3,2,3,3,2,4,2,3,4,3,3,2,3,3,2,3,3,2,3,no. I didn't feel any issues on this task,nice study
A2PUL3ZDXOW0VZ,4,0,5,1,0,3,0,0,0,4,3,5,0,1,1,0,0,3,0,0,3,4,1,1,2,2,0,0,0,4,3,0,0,4,2,0,0,4,0,0,4,4,0,0,4,0,0,3,"No, the pronouns either referred to the nouns or they didn't.","When the drawings were based on real animals, I said there was a low probability of finding one that looked like the drawing.  The fanciful one I gave a high probability to because they referred to a thing without real things to compare them to."
A30VLAIIJIG5IS,5,0,5,0,0,4,0,0,0,5,4,1,0,1,4,0,1,2,3,0,4,2,1,1,2,1,1,0,1,2,3,0,0,4,3,4,1,4,0,1,2,3,0,0,1,1,5,4,Yes - the answers were ambiguous at times,no
A3VTOW7WLPTBRR,4,0,4,1,2,3,4,1,0,5,1,5,0,1,5,1,2,3,0,1,3,3,3,5,2,2,2,3,0,2,4,1,5,5,2,5,0,2,0,1,2,4,4,1,1,2,5,2,No,I didn't find it difficult because I understood all of the words and questions
A2FYPO3PEYCLX2,4,4,4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NO,THE TASK WAS GOOD.
