"","subject","mod_how_MA","mod_how_MO","mod_how_MS","mod_where_MA","mod_where_MO","mod_where_MS","mod_who_MA","mod_who_MO","mod_who_MS","nomod_how_MA","nomod_how_MO","nomod_how_MS","nomod_where_MA","nomod_where_MO","nomod_where_MS","nomod_who_MA","nomod_who_MO","nomod_who_MS"
"1","A10JXOU89D5RXR",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"2","A15ZLQU8M9MMXS",0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4
"3","A160AAFKYN9TUD",0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4
"4","A17D6BK59S31BM",0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0
"5","A17FGZ1I5P9RZA",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"6","A17K1CHOI773VZ",0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0
"7","A17WS5TP6OPH7R",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"8","A18E16UFE351U6",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"9","A1C7XI68SED8JE",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"10","A1CY01G7686ORZ",0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
"11","A1DS5O8MSI3ZH0",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"12","A1F1BIPJR11LSR",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"13","A1GKD3NG1NNHRP",0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0
"14","A1IFF4KV23FGHJ",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"15","A1J19UOHNI0UOC",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"16","A1J1PWS99LFVPL",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"17","A1KA64FR47O9FS",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"18","A1LE6AUI3CJNIT",0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0
"19","A1LZNQ6Q5JNTZE",0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
"20","A1O67YS3DU0ZHX",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"21","A1OQIXAU1SEJ4P",0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0
"22","A1TZCSZA0IQ6JB",4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"23","A1U8HCXVACOGJ8",0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4
