"","subject","how_MA","how_MO","how_MS","where_MA","where_MO","where_MS","who_MA","who_MO","who_MS"
"1","A15ZLQU8M9MMXS",0,0,4,0,0,4,0,0,4
"2","A160AAFKYN9TUD",0,0,4,0,0,4,0,0,4
"3","A17D6BK59S31BM",0,4,0,0,4,0,0,4,0
"4","A17K1CHOI773VZ",0,4,0,0,4,0,0,4,0
"5","A1C7XI68SED8JE",4,0,0,4,0,0,4,0,0
"6","A1DS5O8MSI3ZH0",4,0,0,4,0,0,4,0,0
"7","A1F1BIPJR11LSR",4,0,0,4,0,0,4,0,0
"8","A1GKD3NG1NNHRP",0,4,0,0,4,0,0,4,0
"9","A1J1PWS99LFVPL",4,0,0,4,0,0,4,0,0
"10","A1LE6AUI3CJNIT",0,4,0,0,4,0,0,4,0
"11","A1OQIXAU1SEJ4P",4,0,0,4,0,0,4,0,0
"12","A1U8HCXVACOGJ8",0,0,4,0,0,4,0,0,4
"13","A1USR9JCAMDGM3",4,0,0,4,0,0,4,0,0
"14","A1W7QLLENVP2AE",0,0,4,0,0,4,0,0,4
"15","A1WJU1IQ3UTRC6",0,0,4,0,0,4,0,0,4
"16","A1XSCA2SO63MM7",4,0,0,4,0,0,4,0,0
"17","A1ZD8RU6YB0VEU",0,0,4,0,0,4,0,0,4
"18","A29AKJXQ248KNK",0,4,0,0,4,0,0,4,0
"19","A29TQSAJPLXZU7",0,4,0,0,4,0,0,4,0
"20","A2BZY06YRWGEDL",0,0,4,0,0,4,0,0,4
"21","A2CHDWKAYZ3P3E",4,0,0,4,0,0,4,0,0
"22","A2FYPO3PEYCLX2",0,0,4,0,0,4,0,0,4
"23","A2GB0RI43KU4Z",0,4,0,0,4,0,0,4,0
"24","A2GOYSTIL3LOV1",0,4,0,0,4,0,0,4,0
"25","A2JCK494NV7TFX",0,0,4,0,0,4,0,0,4
"26","A2JOHICL072IY3",4,0,0,4,0,0,4,0,0
"27","A2MDVIWMWCPOSO",0,0,4,0,0,4,0,0,4
"28","A2PUL3ZDXOW0VZ",0,0,4,0,0,4,0,0,4
"29","A2R72PEQOZAINO",0,0,4,0,0,4,0,0,4
"30","A2RCYLKY072XXO",0,0,4,0,0,4,0,0,4
"31","A2RMJNF6IPI42F",0,4,0,0,4,0,0,4,0
"32","A2UUKFTD0VUX2S",4,0,0,4,0,0,4,0,0
"33","A2VFEDAK5C1E1O",0,4,0,0,4,0,0,4,0
"34","A2WHC086WNUQNB",0,0,4,0,0,4,0,0,4
"35","A2YOVBJ9EXAI8W",0,4,0,0,4,0,0,4,0
"36","A30VLAIIJIG5IS",0,0,4,0,0,4,0,0,4
"37","A32U64W0S9PUA3",0,4,0,0,4,0,0,4,0
"38","A39ROW50DWRRKT",4,0,0,4,0,0,4,0,0
"39","A3EHDY67QENKPT",0,4,0,0,4,0,0,4,0
"40","A3NVRTN7RC8D0I",0,0,4,0,0,4,0,0,4
"41","A3QVZ4SZB79D8W",0,4,0,0,4,0,0,4,0
"42","A3RS7UCO7CQ74R",0,4,0,0,4,0,0,4,0
"43","A3TCFIPOBRZZB3",0,4,0,0,4,0,0,4,0
"44","A3UN1F1EOHKKE6",4,0,0,4,0,0,4,0,0
"45","A3VP02KDUZIV0V",0,4,0,0,4,0,0,4,0
"46","A3VTOW7WLPTBRR",0,0,4,0,0,4,0,0,4
"47","A52FUUEDGSZT9",4,0,0,4,0,0,4,0,0
"48","A7XAEZTNECKT5",0,0,4,0,0,4,0,0,4
"49","A9WIOFVRSYW3L",0,4,0,0,4,0,0,4,0
"50","A9YN0N476F6PR",4,0,0,4,0,0,4,0,0
"51","AA4KKLIU4C3NY",4,0,0,4,0,0,4,0,0
"52","AFZKP8TAXAUCR",0,0,4,0,0,4,0,0,4
"53","AG5HAUJJV4OCY",4,0,0,4,0,0,4,0,0
"54","AG6WV3WODQ7IN",4,0,0,4,0,0,4,0,0
"55","AJM4334V07JDQ",4,0,0,4,0,0,4,0,0
"56","AQEP3H2QADT47",4,0,0,4,0,0,4,0,0
"57","AY5OS6NZWVX22",0,4,0,0,4,0,0,4,0
