subject,Train_control_accept,train_snake_untypical,vera_train_accept,train_control_unaccept,vera_accept_2_list2_b_pp,answer_accept_1_how_MS_political,conn_typical_zebra_pattern,vera_accept_6_list2_c_tp,conn_typical_echidna_color,answer_accept_1_where_MS_fido,conn_typical_dacker_pattern,vera_accept_7_list2_a_PRO,conn_typical_cow_color,answer_accept_1_who_MS_vacation,conn_typical_sugarglider_color,vera_accept_11_list2_b_pp,conn_typical_giraffe_pattern,answer_accept_1_how_MS_petra,conn_typical_axolotl_pattern,vera_accept_15_list2_c_tp,conn_typical_bosa_pattern,answer_accept_1_where_MS_chocolate,conn_typical_fish_color,vera_accept_16_list2_a_PRO,conn_typical_eurypterid_color,answer_accept_1_who_MS_office,conn_typical_butterfly_color,vera_accept_20_list2_a_pp,conn_typical_lungfish_color,answer_accept_1_how_MS_college,conn_typical_chisop_color,vera_accept_24_list2_c_tp,conn_typical_skunk_pattern,answer_accept_1_where_MS_hideseek,conn_typical_cuttlefish_pattern,vera_accept_25_list2_a_PRO,conn_typical_bear_pattern,answer_accept_1_who_MS_customer,conn_typical_pangolin_color,vera_accept_29_list2_b_pp,conn_typical_jottle_color,answer_accept_1_how_MS_holywood,conn_typical_cat_pattern,vera_accept_33_list2_c_tp,answer_accept_1_who_MS_intern,conn_typical_tapir_pattern,vera_accept_34_list2_a_PRO,answer_accept_1_where_MS_lights,Did you find this task difficult? Why or why not?,Anything else you'd like to tell us?
A2WWYVKGZZXBOB,5,2,5,4,0,2,3,0,1,4,2,5,3,3,2,4,3,1,1,0,0,3,3,0,0,3,2,0,2,4,2,0,3,4,2,5,2,4,2,0,2,2,3,0,3,2,1,4,no,no
A15PHPJA7AWCS3,5,3,5,0,0,4,2,0,2,3,0,0,4,4,2,0,2,2,1,0,0,0,4,2,0,3,3,0,0,4,0,1,2,1,1,2,3,4,1,2,0,5,3,0,4,2,2,4,No it took some concentration but wasn't difficult to follow.,None
AY7WPVKHVNBLG,5,3,5,0,0,5,3,0,2,3,2,3,2,3,4,2,4,4,3,2,2,3,4,0,2,2,5,0,3,3,2,0,5,3,5,1,1,3,2,0,2,2,4,0,1,3,2,2,No.,"No, thanks!"
A3MEGTO8MPAH8D,5,3,3,1,1,4,4,1,3,5,3,4,5,4,5,1,5,5,4,1,3,4,5,0,3,2,5,1,4,3,4,1,5,3,5,4,5,3,5,1,5,3,5,1,2,5,5,3,"No, it was similar questions",no
AMDPJ713Z3IJL,5,1,5,1,4,0,4,5,3,4,3,5,2,2,4,0,4,1,2,0,2,3,4,1,2,4,4,0,2,5,3,0,4,2,3,0,2,2,2,0,2,2,4,0,2,3,2,3,Not my favorite.,No.
A17WT0K0HFTW9U,5,0,4,1,1,3,3,1,0,4,1,4,1,3,3,1,3,3,1,1,1,3,4,5,1,3,4,1,1,3,3,1,5,3,2,5,3,4,3,3,4,4,5,1,4,4,5,4,Somewhat because I did not know some of the words illustrated in the pictures.,no
A3BI98I9V2FL0T,5,4,5,0,0,5,4,0,2,5,3,5,2,5,4,0,4,5,3,0,2,5,5,0,3,5,4,0,4,4,3,0,3,5,5,0,1,5,3,0,2,4,3,0,5,3,0,5,It was just a lot of reading but overall not that hard,
A1WH32GYQOHIRQ,5,4,5,5,0,5,5,0,2,5,0,1,1,5,5,1,0,2,4,0,0,5,5,2,5,4,5,1,3,5,0,0,4,5,5,5,0,4,3,1,1,5,3,0,4,4,3,2,A little diificult. The ones with the two bolded words and stories where a person was left out gave me the most trouble. Some of the pictures I had to Google the words.,No
A3ROADR7T6811,5,1,4,1,1,3,3,1,1,2,2,1,3,3,4,1,5,3,4,2,2,4,5,4,2,3,4,1,2,4,3,2,4,3,3,2,4,2,1,2,4,2,3,2,2,4,2,3,none ,
A1HAOXJVRYT43K,3,3,3,4,4,4,4,4,3,4,2,4,4,3,4,3,4,3,3,4,2,3,4,4,2,3,4,3,1,3,1,3,5,3,3,4,3,3,2,4,1,3,4,4,3,3,4,3,"no, I just went with my gut.",
A2RQZJV3501QIH,5,0,5,3,0,5,4,0,0,5,0,2,0,2,4,0,0,4,5,0,0,3,2,5,4,3,1,0,1,3,0,0,5,3,5,5,0,4,0,0,0,4,4,0,4,4,5,4,"No, it was easy, anyone who speaks English and reads everything can easily do this. But the instructions weren't very descriptive, I'm guessing the study also looks at the differences in people's perception of ""acceptable""",No
A3180VXVP8MOIH,5,1,4,5,2,1,2,0,2,4,2,1,4,2,2,3,5,3,3,3,1,5,5,3,2,4,4,2,4,4,2,4,3,3,3,4,2,3,3,2,2,5,0,3,2,3,4,5,I found it just a tad bit difficult because I had to reread over and over to come up with an acceptable answer.,no
AHPCI0X85ZUR1,5,5,5,5,0,5,5,0,3,5,3,0,5,5,4,0,5,5,3,0,3,5,5,0,3,5,5,0,4,5,4,0,5,5,5,5,5,5,5,0,4,5,5,0,5,5,0,5,too long,
A49A0FF6ZXYDU,5,2,0,5,0,5,1,0,1,5,0,0,1,5,3,0,2,5,2,0,0,5,4,0,2,5,1,0,1,5,0,0,1,5,2,0,1,5,2,0,0,5,1,0,5,1,0,5,"some items don't exist, band member references were distracting",nope
A1VAL7L9L79IN0,5,0,5,1,5,1,5,0,3,5,0,5,4,4,5,5,5,0,5,0,3,0,3,0,4,4,4,0,4,2,5,0,5,5,5,0,4,5,4,0,4,5,4,0,3,4,0,5,Not too much.,No
AOY0S460FQI1T,4,4,4,3,4,3,4,1,3,4,3,3,4,0,3,0,1,3,3,0,1,3,5,3,3,5,4,0,3,3,3,0,3,3,4,3,3,3,4,0,4,3,2,0,3,3,3,3,"easy, as it's basic comprehension ",
A3KX2T5AK3VA71,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,no,nothing
A2482SLAY120J2,5,0,5,3,0,1,2,0,2,5,5,1,0,5,5,0,0,0,5,0,5,5,0,0,5,5,0,0,0,5,5,0,3,0,4,0,0,5,5,0,5,5,1,0,5,3,0,4,No. There are no right or wrong answers.,
